CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
1;00000;Via San Francesco Da Paola, 10;SAN FRANCESCO DA PAOLA;03603780010;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0652154357378;7,68671719343681;1
2;00000;Piazza Vittorio Veneto, 10;ALGOSTINO E DEMICHELIS;00552480014;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/10/2009;Ordinaria;1;45,003342205568;7,60284957264712;1
2;00000;Piazza Vittorio Veneto, 10;ALGOSTINO DEMICHELIS DI GALLO DOTT. MARIO;10170320013;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/02/2015;-;Ordinaria;1;45,003342205568;7,60284957264712;1
2;00000;Piazza Vittorio Veneto, 10;GALLO MARIO;10170320013;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/11/2009;31/01/2015;Ordinaria;1;45,003342205568;7,60284957264712;1
3;00000;Via del Carmine, 1;FERRERO;00017390014;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;30/04/2011;Ordinaria;1;45,0762083205915;7,67394938429084;1
3;00000;Via del Carmine, 1;FERRERO;10491430012;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/05/2011;-;Ordinaria;1;45,0762083205915;7,67394938429084;1
4;00000;Via Carlo Alberto, 24;INTERNAZIONALE;11090630010;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,4575945727436;7,97475968827803;1
5;00000;Via San Francesco D`Assisi, 14;COLLEGIATA SANTA MARIA SNC DEL DR. BALAGNA AGOSTINO E FIGLI;09485870019;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/09/2010;-;Ordinaria;1;45,0716748545467;7,68017677414661;1
5;00000;Via San Francesco D`Assisi, 14;COLLEGIATA SANTA MARIA SNC DEL DR. BALAGNA AGOSTINO E FIGLI;00547270017;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/08/2010;Ordinaria;1;45,0716748545467;7,68017677414661;1
6;00000;Via Giuseppe Mazzini, 24;DEL CONSERVATORIO SNC DEI DR.I VECCO G., AMORETTI A. E CAPELLO C.;11104390015;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,0768757;6,69700785;1
7;00000;Piazza Vittorio Veneto, 11;OPERTI;00768850018;10124;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;-;Ordinaria;1;45,003342205568;7,60284957264712;1
8;00000;Piazza C. Felice, 63;CARLO FELICE;09317390012;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/09/2010;-;Ordinaria;1;45,0709201;7,6859719;1
8;00000;Piazza C. Felice, 63;CARLO FELICE;08606430018;10123;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/08/2010;Ordinaria;1;45,0709201;7,6859719;1
9;00000;Corso Vittorio Emanuele II, 84;MONUMENTO;03746910011;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/03/2013;Ordinaria;1;45,0600441248405;7,68636936789709;1
9;00000;Corso Vittorio Emanuele II, 84;DEL MONUMENTO;03746910011;10121;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/04/2013;-;Ordinaria;1;45,0600441248405;7,68636936789709;1
10;00000;Via delle Orfane, 25;DELLA CONSOLATA;-;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/01/2005;31/08/2010;Ordinaria;1;45,0755970708276;7,67936230208308;1
10;00000;Via delle Orfane, 25;DELLA CONSOLATA;08872550010;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/09/2010;-;Ordinaria;1;45,0755970708276;7,67936230208308;1
11;00000;Via XX Settembre, 87;REGIA FARMACIA XX SETTEMBRE SAS DI TEALDI MARIA FRANCA;09895840016;10122;001272;TORINO;-;001;TO;TORINO;010;PIEMONTE;01/02/2016;-;Ordinaria;1;45,0692336846927;7,68187909649041;1
